,precision,recall,f1-score,support
Healthy_Tomato,1.0,1.0,1.0,15.0
Tomato_Late_Blight,1.0,1.0,1.0,15.0
Tomato_Early_Blight,1.0,1.0,1.0,15.0
Healthy_Potato,1.0,0.9333333333333333,0.9655172413793104,15.0
Potato_Late_Blight,0.9375,1.0,0.967741935483871,15.0
accuracy,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667
macro avg,0.9875,0.9866666666666667,0.9866518353726363,75.0
weighted avg,0.9875,0.9866666666666667,0.9866518353726363,75.0
