,precision,recall,f1-score,support
Potato___Early_blight,0.9,0.9,0.9,30.0
Tomato_Early_blight,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0
Tomato__Target_Spot,0.7941176470588235,0.9,0.84375,30.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Tomato_healthy,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
accuracy,0.8466666666666667,0.8466666666666667,0.8466666666666667,0.8466666666666667
macro avg,0.8489640147246638,0.8466666666666667,0.8466506839131727,150.0
weighted avg,0.8489640147246638,0.8466666666666667,0.8466506839131728,150.0
