,precision,recall,f1-score,support
Potato___Early_blight,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Tomato_Early_blight,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0
Tomato__Target_Spot,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Tomato_healthy,1.0,0.9666666666666667,0.9830508474576272,30.0
accuracy,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
macro avg,0.9376354679802956,0.9333333333333333,0.9340430697298027,150.0
weighted avg,0.9376354679802955,0.9333333333333333,0.9340430697298026,150.0
