Model,accuracy,precision_macro,recall_macro,f1_macro
random_forest,0.8466666666666667,0.8489640147246638,0.8466666666666667,0.8466506839131727
svm,0.9333333333333333,0.9376354679802956,0.9333333333333333,0.9340430697298027
gradient_boosting,0.8466666666666667,0.8476907001044932,0.8466666666666667,0.8466612859833198
