,precision,recall,f1-score,support
Potato___Early_blight,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
Tomato_Early_blight,0.7931034482758621,0.7666666666666667,0.7796610169491526,30.0
Tomato__Target_Spot,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
Tomato_healthy,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
accuracy,0.8466666666666667,0.8466666666666667,0.8466666666666667,0.8466666666666667
macro avg,0.8476907001044932,0.8466666666666667,0.8466612859833198,150.0
weighted avg,0.8476907001044932,0.8466666666666667,0.8466612859833198,150.0
